N      r
4 0.00095331
6 0.000954149
10 0.000954987
9 0.000955824
4 0.000956661
5 0.000957497
8 0.000958332
8 0.000959166
9 0.00096
5 0.000960833
6 0.000961665
6 0.000962497
5 0.000963328
4 0.000964158
7 0.000964987
